TransactionID,score_isolation_forest,score_lof,score_ocsvm,score_elliptic_envelope,score_dbscan,score_hdbscan,score_kmeans,score_gmm,score_autoencoder,score_vae,score_lstm_ae
TX002181,0.9982085987261147,0.9990047770700637,0.9998009554140127,0.9994028662420382,0.9990047770700637,0.9990047770700637,0.9990047770700637,0.9994028662420382,0.9970143312101911,0.9978105095541401,
TX001354,0.9994028662420382,0.9994028662420382,0.9994028662420382,0.9990047770700637,0.9994028662420382,0.9994028662420382,0.9994028662420382,0.9998009554140127,0.9938296178343949,0.9974124203821656,0.9993755203996669
TX000993,0.9894506369426752,0.9978105095541401,0.9990047770700637,0.9974124203821656,0.9978105095541401,0.9978105095541401,0.9978105095541401,0.9986066878980892,0.9858678343949044,0.9217754777070064,0.9981265611990008
TX000856,0.9723328025477707,0.9834792993630573,0.9930334394904459,0.950437898089172,0.9914410828025477,0.9926353503184714,0.9874601910828026,0.9775079617834395,0.9926353503184714,0.9994028662420382,0.9627393838467944
TX002192,0.96875,0.996218152866242,0.9970143312101911,0.9946257961783439,0.9966162420382165,0.9946257961783439,0.995421974522293,0.9990047770700637,0.9631767515923567,0.8266321656050956,0.9968776019983348
TX000526,0.9432722929936306,0.9914410828025477,0.986265923566879,0.9568073248407644,0.9886544585987261,0.9922372611464968,0.9723328025477707,0.995421974522293,0.9994028662420382,0.9990047770700637,0.8794754371357202
TX000476,0.9918391719745223,0.9882563694267515,0.9810907643312102,0.8803742038216561,0.9842754777070064,0.9838773885350318,0.9607882165605095,0.9858678343949044,0.9930334394904459,0.9998009554140127,0.9102830974188176
TX000166,0.9791003184713376,0.9922372611464968,0.9902468152866242,0.933718152866242,0.9894506369426752,0.9902468152866242,0.9711385350318471,0.861265923566879,0.9986066878980892,0.9627786624203821,0.9681515403830142
TX001439,0.9583996815286624,0.9576035031847133,0.9755175159235668,0.9878582802547771,0.9498407643312102,0.9428742038216561,0.9476512738853503,0.9938296178343949,0.98546974522293,0.9966162420382165,0.920691090757702
TX000198,0.9958200636942676,0.9842754777070064,0.9842754777070064,0.9026671974522293,0.964968152866242,0.9723328025477707,0.9583996815286624,0.9707404458598726,0.9982085987261147,0.9357085987261147,0.9248542880932556
TX000541,0.9221735668789809,0.9890525477707006,0.9858678343949044,0.8771894904458599,0.9791003184713376,0.9826831210191083,0.9743232484076433,0.9934315286624203,0.996218152866242,0.9225716560509554,0.9602414654454621
TX002087,0.9763136942675159,0.9715366242038217,0.9874601910828026,0.9719347133757962,0.9850716560509554,0.9842754777070064,0.9544187898089171,0.9978105095541401,0.7155652866242038,0.9874601910828026,0.9939633638634471
TX001282,0.9906449044585988,0.9253582802547771,0.9524283439490446,0.9798964968152867,0.964968152866242,0.9623805732484076,0.960390127388535,0.8644506369426752,0.9448646496815286,0.9902468152866242,0.8574104912572856
TX001259,0.9882563694267515,0.9906449044585988,0.9918391719745223,0.9874601910828026,0.9938296178343949,0.9874601910828026,0.9902468152866242,0.9982085987261147,0.9010748407643312,0.558718152866242,0.9943796835970025
TX002314,0.9643710191082803,0.9456608280254777,0.9404856687898089,0.8290207006369427,0.964968152866242,0.9679538216560509,0.8958996815286624,0.9898487261146497,0.9607882165605095,0.9540207006369427,0.9531640299750208
TX000109,0.9428742038216561,0.92296974522293,0.9452627388535032,0.9376990445859873,0.9498407643312102,0.9452627388535032,0.9452627388535032,0.8616640127388535,0.9197850318471338,0.9691480891719745,0.8740632805995004
TX001243,0.9277468152866242,0.9735270700636943,0.8791799363057324,0.8214570063694268,0.9498407643312102,0.9635748407643312,0.9054538216560509,0.9444665605095541,0.977109872611465,0.9460589171974523,0.8890507910074937
TX000501,0.9834792993630573,0.9703423566878981,0.9671576433121019,0.8027468152866242,0.9498407643312102,0.9464570063694268,0.9177945859872612,0.852109872611465,0.9922372611464968,0.9193869426751592,0.8686511240632806
