TransactionID,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble,Final Ensemble Risk
TX000275,1.0,0.9996019108280255,1.0,0.9968152866242038,0.9996019108280255,1.0,0.9988057324840764,0.9661624203821656,1.0,1.0,0.9875104079933389,0.9964171974522293,0.995118096673926
TX002125,0.9936305732484076,0.9992038216560509,0.9988057324840764,0.9804936305732485,0.9972133757961783,0.9992038216560509,0.9940286624203821,0.9745222929936306,0.9976114649681529,0.9992038216560509,0.9687760199833472,0.9964171974522293,0.9909540556099028
TX000589,0.9892515923566879,0.9761146496815286,0.9956210191082803,0.9470541401273885,0.9920382165605095,0.9980095541401274,0.9884554140127388,0.9968152866242038,0.9964171974522293,0.9876592356687898,0.9650291423813488,0.9964171974522293,0.9845697129442892
TX001058,0.990843949044586,0.9657643312101911,0.9976114649681529,0.9486464968152867,0.9924363057324841,0.9976114649681529,0.9848726114649682,0.9976114649681529,0.9956210191082803,0.98328025477707,0.9646128226477935,0.9964171974522293,0.9833375981798608
TX001162,0.9964171974522293,0.9948248407643312,0.9920382165605095,0.9187898089171974,0.9928343949044586,0.9956210191082803,0.9904458598726115,0.9984076433121019,0.9968152866242038,0.9932324840764332,0.9329725228975854,0.9964171974522293,0.9818364244330264
TX001704,0.9952229299363057,0.9952229299363057,0.9888535031847133,0.9152070063694268,0.9645700636942676,0.9904458598726115,0.9860668789808917,0.9980095541401274,0.9984076433121019,0.9912420382165605,0.9208992506244796,0.9964171974522293,0.9765408229582856
TX000148,0.9721337579617835,0.9976114649681529,0.9984076433121019,0.9868630573248408,0.9984076433121019,0.9988057324840764,0.9952229299363057,0.9072452229299363,0.8980891719745223,0.9996019108280255,0.9837635303913406,0.9798964968152867,0.9758139508815034
TX000935,0.9996019108280255,0.9856687898089171,0.9932324840764332,0.9984076433121019,0.9976114649681529,0.9928343949044586,0.9980095541401274,0.9705414012738853,0.9657643312101911,0.8335987261146497,0.985428809325562,0.9964171974522293,0.9744091731123504
TX000147,0.9948248407643312,0.9980095541401274,0.9880573248407644,0.9211783439490446,0.9904458598726115,0.9952229299363057,0.9896496815286624,0.9219745222929936,0.9972133757961783,0.991640127388535,0.925895087427144,0.9964171974522293,0.9738102765645498
TX000956,0.9828821656050956,0.990843949044586,0.9765127388535032,0.9112261146496815,0.9785031847133758,0.9880573248407644,0.9844745222929936,0.9896496815286624,0.9952229299363057,0.982484076433121,0.9263114071606994,0.9964171974522293,0.9730881353938308
TX000225,0.9737261146496815,0.9494426751592356,0.9952229299363057,0.990047770700637,0.98328025477707,0.991640127388535,0.9880573248407644,0.9653662420382165,0.9601910828025477,0.9319267515923567,,0.9798964968152867,0.9726910828025478
TX001888,0.9904458598726115,0.9012738853503185,0.9896496815286624,0.9422770700636943,0.9860668789808917,0.9924363057324841,0.98328025477707,0.9928343949044586,0.9175955414012739,0.9757165605095541,,0.9301353503184714,0.9669585987261146
TX001903,0.9988057324840764,0.9896496815286624,0.9940286624203821,0.9402866242038217,0.9745222929936306,0.9892515923566879,0.9840764331210191,0.9996019108280255,0.9693471337579618,0.946656050955414,0.8497085761865112,0.9964171974522293,0.966703280464504
TX000899,0.9968152866242038,1.0,0.9996019108280255,0.9872611464968153,0.9964171974522293,0.9996019108280255,0.9928343949044586,0.9307324840764332,0.7348726114649682,0.9980095541401274,0.9587843463780183,0.9798964968152867,0.962975657951514
TX000260,0.9645700636942676,0.9609872611464968,0.9936305732484076,0.9753184713375797,0.9781050955414012,0.9848726114649682,0.9633757961783439,0.9498407643312102,0.955812101910828,0.9522292993630573,0.9042464612822648,0.9964171974522293,0.9618899903429248
TX001958,0.9888535031847133,0.9904458598726115,0.9323248407643312,0.9000796178343949,0.9856687898089171,0.9860668789808917,0.9828821656050956,0.9410828025477707,0.9936305732484076,0.9812898089171974,0.8950874271440467,0.9964171974522293,0.9613830601983387
TX001239,0.9339171974522293,0.9892515923566879,0.9972133757961783,0.9932324840764332,0.991640127388535,0.9964171974522293,0.9924363057324841,0.7762738853503185,0.9796974522292994,0.972531847133758,0.9512905911740216,0.9798964968152867,0.9610639500377748
TX000773,0.9482484076433121,0.8343949044585988,0.9928343949044586,0.9410828025477707,0.9808917197452229,0.9812898089171974,0.9538216560509554,0.9932324840764332,0.9661624203821656,0.9860668789808917,0.9862614487926727,0.9798964968152867,0.9601898473430026
TX001306,0.9920382165605095,0.9426751592356688,0.9721337579617835,0.919984076433121,0.9693471337579618,0.9653662420382165,0.9808917197452229,0.9538216560509554,0.9804936305732485,0.9701433121019108,0.8784346378018318,0.9798964968152867,0.9566482669576164
TX001423,0.9629777070063694,0.9940286624203821,0.9944267515923567,0.8698248407643312,0.9705414012738853,0.9856687898089171,0.9872611464968153,0.8045382165605095,0.9992038216560509,0.9944267515923567,,0.9964171974522293,0.9560907643312102
TX000395,0.9976114649681529,0.7790605095541401,0.9876592356687898,0.973328025477707,0.990047770700637,0.990843949044586,0.9800955414012739,0.9972133757961783,0.9084394904458599,0.9092356687898089,0.984179850124896,0.9301353503184714,0.9541378432950344
TX002112,0.929140127388535,0.9757165605095541,0.9964171974522293,0.9952229299363057,0.9880573248407644,0.9948248407643312,0.9948248407643312,0.9526273885350318,0.9709394904458599,0.7559713375796179,0.9421315570358035,0.9798964968152867,0.9539704535932466
TX002282,0.955812101910828,0.9068471337579618,0.9677547770700637,0.9080414012738853,0.9864649681528662,0.990047770700637,0.9737261146496815,0.9920382165605095,0.9203821656050956,0.9705414012738853,0.922564529558701,0.9301353503184714,0.9538201795261332
TX000177,0.9864649681528662,0.9820859872611465,0.945859872611465,0.9171974522292994,0.9625796178343949,0.9844745222929936,0.9609872611464968,0.95421974522293,0.9578025477707006,0.9371019108280255,0.8975853455453788,0.9964171974522293,0.9531055113790045
TX001738,0.8439490445859873,0.9625796178343949,0.991640127388535,0.9677547770700637,0.9554140127388535,0.9888535031847133,0.9757165605095541,0.9693471337579618,0.955015923566879,0.9295382165605095,0.9400499583680266,0.9798964968152867,0.952514569985348
