TransactionID,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DeviceNoveltyFlag,LocationNoveltyFlag,Amount_vs_TypeAvg,DeviceTxnCount,IPTxnCount,MerchantTxnCount,Amount_vs_AccountAvg,TimeSinceLastTxn,Location_enc,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,split,vote_count,risk_tier,is_fraud
TX002121,476.99,23,187,1,1154.48,1,1,0.6737844876931652,1,4,13,0.6737844876931652,839.8416666666667,36,True,False,True,False,False,True,train,0,Normal,0
TX000021,59.32,71,38,1,5750.89,1,1,-0.7918428116405253,1,2,19,-0.8756368039673016,1176.6,20,True,True,False,False,True,False,train,0,Normal,0
TX001477,12.62,33,61,1,6420.47,1,1,-0.9557157134024028,2,4,22,-0.9529376630943384,1583.9833333333331,12,True,True,False,False,False,False,train,0,Normal,0
TX000062,263.99,79,227,2,4175.02,1,1,-0.0736443790151836,3,5,17,0.4427522610747147,263.53333333333336,9,True,True,False,False,True,False,train,0,Normal,0
TX001599,395.16,56,17,1,5340.73,1,1,0.386638458760094,6,2,14,0.9443979680933032,1656.1166666666666,25,True,False,True,False,True,False,train,0,Normal,0
TX002326,20.17,77,86,1,3869.37,1,1,-0.9292223427749472,3,5,23,-0.9292223427749472,839.8416666666667,35,True,False,False,False,True,False,train,0,Normal,0
TX001841,237.97,69,69,1,13486.15,1,1,-0.1649500086478185,5,2,16,10.798214635685936,168.68333333333334,8,True,False,False,False,False,False,train,1,Normal,0
TX002363,416.62,26,67,1,9700.9,1,1,0.3494479131624496,1,4,18,2.2278608334402974,1344.0,3,False,False,True,False,False,True,train,0,Normal,0
TX001904,384.11,58,12,1,7902.52,1,1,0.3478633931397782,3,4,16,0.7077627569457464,1679.15,13,True,False,False,False,True,False,train,0,Normal,0
TX001851,13.16,43,98,1,1019.46,1,1,-0.9538208233177898,2,3,22,-0.9538208233177898,839.8416666666667,23,True,True,False,True,False,False,train,0,Normal,0
TX000707,642.54,44,28,1,3143.17,1,1,1.2547086608554523,7,6,16,47.82522432939025,217.21666666666667,25,True,True,False,True,False,False,train,4,High confidence fraud,1
TX001648,99.25,63,93,1,2570.34,1,1,-0.6785254994735094,1,2,15,-0.6972700909035532,1126.0666666666666,31,False,False,True,False,True,False,train,0,Normal,0
TX000223,547.87,64,131,1,6155.76,1,1,0.9225063565771454,4,4,17,1.1771110622805043,336.3666666666667,8,True,False,False,False,True,False,train,0,Normal,0
TX002315,162.59,64,19,1,7104.83,1,1,-0.4294626282369046,3,4,18,-0.4294626282369046,839.8416666666667,16,True,True,False,False,True,False,train,0,Normal,0
TX000944,377.92,33,204,1,2254.71,1,1,0.3261423382809769,1,4,15,1.3243741846092985,1.1833333333333331,33,True,True,False,True,False,False,train,0,Normal,0
TX001792,680.76,21,165,1,572.97,1,1,1.3888247701774856,4,7,23,1.5189543152986835,119.15,18,True,True,False,False,False,True,train,0,Normal,0
TX000547,420.28,35,144,1,8557.32,1,1,0.4747859382517075,2,3,22,0.0324006975548387,1896.8333333333333,42,True,True,False,False,False,False,train,0,Normal,0
TX000760,417.8,27,130,1,1518.82,1,1,0.3532699777145826,1,4,19,0.0180621972695021,958.8833333333332,30,False,True,False,False,False,True,train,0,Normal,0
TX000195,488.54,52,132,1,7486.63,1,1,0.7143140811696039,3,3,16,0.1861509695142861,169.43333333333334,17,True,True,False,True,False,False,train,0,Normal,0
TX000662,158.56,33,100,1,5401.21,1,1,-0.4436041227572551,3,4,17,-0.4436041227572551,839.8416666666667,34,True,False,False,False,False,False,train,0,Normal,0
TX000216,74.88,25,202,1,420.67,1,1,-0.7372419047579811,4,4,26,-0.5277497444011747,2038.95,1,True,False,False,False,False,True,train,0,Normal,0
TX001406,611.15,27,121,1,892.83,1,1,1.1445594020480576,5,2,22,4.2360349191566575,1896.7833333333333,11,True,False,False,False,False,True,train,0,Normal,0
TX000077,162.63,22,113,1,634.17,1,1,-0.4293222660084148,2,4,15,-0.4293222660084148,839.8416666666667,18,True,False,True,False,False,True,train,0,Normal,0
TX000839,637.75,79,152,1,4202.92,1,1,1.2379002839937951,1,2,22,2.9214781840897857,1006.2333333333332,9,True,True,False,False,True,False,train,0,Normal,0
TX002512,243.08,24,93,1,131.25,1,1,-0.2126546990215762,4,3,14,-0.2126546990215762,839.8416666666667,17,False,False,True,False,False,True,train,0,Normal,0
TX002048,425.18,59,135,1,5790.55,1,1,0.3771740763541937,4,2,16,0.7491360838031261,143.91666666666666,14,False,False,True,True,False,False,train,0,Normal,0
TX000868,87.38,21,252,1,1504.99,1,1,-0.693378708354909,3,3,19,-0.7384850185901146,266.1166666666667,1,True,True,False,False,False,True,train,0,Normal,0
TX000840,153.59,66,174,1,4813.12,0,1,-0.5025161878100314,4,2,22,-0.3902255026591016,1487.3333333333333,32,False,True,False,False,True,False,train,2,Medium confidence / needs review,1
TX002367,281.91,25,269,1,225.53,1,1,-0.0107621006517393,3,4,11,-0.0107621006517393,839.8416666666667,10,True,True,False,False,False,True,train,0,Normal,0
TX001737,7.56,40,145,1,8528.72,1,1,-0.9734715353063664,3,6,22,-0.973182927270466,599.4666666666667,25,True,False,False,False,False,False,train,0,Normal,0
TX001760,1086.6,19,38,1,1605.67,1,1,2.8129399404353084,3,4,14,6.507513687031375,2521.0333333333333,36,True,False,True,False,False,True,train,1,Normal,0
TX001168,838.57,41,273,1,14576.47,1,1,1.9425888521269907,5,2,19,0.8281846108958456,838.4666666666667,31,True,False,False,False,False,False,train,0,Normal,0
TX000096,508.68,51,127,1,7708.41,1,1,0.64763372898394,6,2,15,-0.081241194810459,0.1333333333333333,23,False,True,False,True,False,False,train,0,Normal,0
TX000694,733.29,52,94,5,10427.0,1,1,1.5731554667417558,4,1,16,1.5731554667417558,839.8416666666667,41,True,False,False,False,False,False,train,2,Medium confidence / needs review,1
TX000735,117.55,24,35,1,897.94,1,1,-0.587510497516454,1,3,15,-0.8396950717455645,1557.8833333333334,14,True,False,False,False,False,True,train,0,Normal,0
TX001015,688.36,23,22,1,5191.13,1,1,1.2296240329900814,4,11,20,0.6180715513655411,1007.9333333333332,22,False,True,False,False,False,True,train,1,Normal,0
TX000098,25.36,57,78,1,201.04,1,1,-0.9110103436283916,1,3,20,-0.950571723719,408.6166666666667,21,True,False,False,True,False,False,train,0,Normal,0
TX000045,304.31,27,33,1,868.61,1,0,0.0678407473025658,3,6,24,-0.2219921250140815,215.7333333333333,21,True,True,False,False,False,True,train,1,Normal,0
TX002047,94.82,67,56,1,1267.72,1,1,-0.6928744367327881,2,4,23,-0.6928744367327881,839.8416666666667,8,False,True,False,False,True,False,train,0,Normal,0
TX000513,8.65,48,273,1,10778.35,1,1,-0.9696466645800184,5,11,14,-0.9087745105592224,1824.5333333333333,19,True,False,True,False,False,False,train,1,Normal,0
TX001153,590.57,79,93,1,3224.6,1,1,1.0723430354900398,3,5,18,10.415289254560951,550.9833333333333,25,True,False,False,False,True,False,train,1,Normal,0
TX000728,137.49,34,50,1,4471.05,1,1,-0.5175399266142734,2,1,19,-0.4056970762245818,672.7833333333333,13,True,False,False,True,False,False,train,0,Normal,0
TX002152,927.45,24,95,1,1161.84,1,1,2.2544737238313948,3,4,15,3.461414484329299,289.96666666666664,2,True,False,False,False,False,True,train,0,Normal,0
TX000576,33.46,72,111,1,3641.07,1,1,-0.8825869923592008,3,4,15,-0.8825869923592008,839.8416666666667,39,True,False,False,False,True,False,train,0,Normal,0
TX001291,427.69,43,236,1,2443.54,1,1,0.5007880410794489,2,4,23,11.78212756180133,863.1666666666666,33,True,False,False,True,False,False,train,1,Normal,0
TX001010,75.04,49,178,1,9648.6,1,1,-0.7366804558440216,8,6,15,-0.6745527456378498,2905.0333333333333,12,True,False,False,True,False,False,train,0,Normal,0
TX002156,172.92,20,212,1,416.37,1,1,-0.3932140827294059,2,4,18,-0.0325071334834267,767.8666666666667,24,True,False,True,False,False,True,train,0,Normal,0
TX002447,719.76,19,190,1,690.52,1,1,1.5256779429550706,4,3,18,1.5256779429550706,839.8416666666667,37,True,True,False,False,False,True,train,0,Normal,0
TX000375,643.22,64,93,1,1035.86,1,1,1.2570948187397797,5,2,18,-0.1063410024086625,815.2333333333333,1,True,False,False,False,False,False,train,0,Normal,0
TX001234,605.42,21,33,1,392.34,1,1,1.1244525128168892,3,1,20,-0.1116230610696811,983.1,23,True,False,False,False,False,True,train,0,Normal,0
TX000520,121.91,60,133,1,14510.8,1,1,-0.5722110146110626,5,2,17,-0.8141993484847603,314.4833333333333,6,True,True,False,False,False,False,train,0,Normal,0
TX000080,174.25,50,67,1,10528.34,1,1,-0.388547038632119,2,3,16,-0.6665566338647251,504.25,39,True,False,True,False,False,False,train,0,Normal,0
TX000657,427.0,49,163,1,8253.65,1,1,0.3830691250701953,1,1,20,-0.0572119969062157,334.1666666666667,28,False,True,False,True,False,False,train,0,Normal,0
TX000022,85.77,38,93,1,9146.19,1,1,-0.6990282880516248,4,2,20,-0.8088023284441684,265.45,19,True,True,False,False,False,False,train,0,Normal,0
TX001456,774.48,61,31,1,11613.58,1,1,1.7176934715291592,1,2,20,1.7176934715291592,839.8416666666667,21,True,True,False,False,False,False,train,0,Normal,0
TX001467,73.35,24,47,1,1181.84,1,1,-0.7426107599977171,3,8,14,-0.9052912910529758,168.35,37,True,True,False,False,False,True,train,0,Normal,0
TX001620,50.9,28,150,1,1277.7,1,1,-0.8351329749782787,5,5,16,-0.8799287572274425,1007.6833333333332,17,False,False,True,False,False,True,train,0,Normal,0
TX001181,50.0,53,87,1,185.87,1,1,-0.838048108958719,5,5,16,-0.838048108958719,839.8416666666667,17,False,False,False,False,False,False,train,0,Normal,0
TX002335,1105.88,34,36,1,2636.32,1,1,2.8805945345674075,2,6,16,21.11759957764801,239.53333333333333,29,True,False,False,True,False,False,train,1,Normal,0
TX001135,26.27,45,177,1,8853.93,1,1,-0.9149104749096636,4,5,15,-0.9545454528938204,262.75,32,False,False,True,True,False,False,train,0,Normal,0
TX001592,314.52,80,229,1,7071.32,1,1,0.103668206124595,3,8,16,-0.2018271787797813,72.98333333333333,22,True,False,False,False,True,False,train,0,Normal,0
TX001864,103.48,32,33,1,6494.25,1,1,-0.636882911387752,2,3,14,-0.636882911387752,839.8416666666667,3,True,False,False,True,False,False,train,0,Normal,0
TX000952,492.84,25,38,1,577.67,1,1,0.7294030207322606,4,5,16,3.762659414740438,721.65,16,True,False,False,False,False,True,train,0,Normal,0
TX001670,261.63,20,150,1,477.03,1,1,-0.0819257504960836,6,5,16,-0.1225181106703845,2136.733333333333,6,True,True,False,False,False,True,train,0,Normal,0
TX000971,215.39,27,216,1,1582.55,1,1,-0.244184486630328,4,3,15,-0.2468442208280988,549.9333333333333,11,True,False,False,False,False,True,train,0,Normal,0
TX001498,1228.81,26,254,1,1821.0,1,1,3.311962753273779,2,2,13,3.311962753273779,839.8416666666667,37,True,False,False,False,False,True,train,0,Normal,0
TX001802,331.32,61,137,5,13054.54,1,1,0.162620342090324,6,3,14,-0.7303732873834252,2520.8,34,True,True,False,False,False,False,train,2,Medium confidence / needs review,1
TX000102,98.54,20,167,1,9383.43,1,1,-0.6808252162803011,1,3,14,-0.8736771924471971,1606.9,12,False,False,True,False,False,True,train,0,Normal,0
TX002086,291.46,57,135,1,7142.53,1,1,0.0227493814002075,2,6,15,0.0227493814002075,839.8416666666667,24,True,False,False,False,True,False,train,0,Normal,0
TX001683,41.13,77,58,1,6067.54,1,1,-0.8667783738548369,3,4,14,-0.8588828626264913,1129.4,30,False,True,False,False,True,False,train,0,Normal,0
TX002414,489.31,43,36,1,5595.22,1,1,0.7170160540680331,1,1,16,1.9424215884877984,166.68333333333334,21,True,True,False,True,False,False,train,0,Normal,0
TX000003,126.29,19,56,1,1122.35,1,1,-0.556841350591426,4,5,22,-0.5390315103819264,2353.7,23,True,False,True,False,False,True,train,0,Normal,0
TX001326,359.65,25,289,1,219.53,1,1,0.1649199322005735,4,6,20,0.1649199322005735,839.8416666666667,17,False,False,True,False,False,True,train,0,Normal,0
TX001830,91.77,51,174,1,9240.73,1,1,-0.6779739537781501,4,4,16,-0.7448352544283742,1487.6833333333334,29,True,True,False,False,False,False,train,0,Normal,0
TX000404,353.82,42,143,1,705.75,1,1,0.2415740956158538,4,4,15,0.5675867238155744,624.3,25,True,False,False,False,False,False,train,0,Normal,0
TX002028,28.52,20,163,1,662.51,1,1,-0.8999217275776951,4,2,15,-0.8937459606064801,1270.95,11,True,False,False,False,False,True,train,0,Normal,0
TX000206,288.04,68,63,1,1748.02,1,1,0.0107484108643271,4,4,15,0.3818844733166165,1991.8833333333332,10,True,False,False,False,True,False,train,0,Normal,0
TX001259,603.23,28,48,1,117.98,1,0,1.1167676808070712,4,4,17,1.6886699871248445,0.7833333333333333,11,True,True,False,False,False,True,train,0,Normal,0
