TransactionID,AccountID,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Amount_vs_TypeAvg,DeviceTxnCount,IPTxnCount,MerchantTxnCount,Amount_vs_AccountAvg,DeviceNoveltyFlag,LocationNoveltyFlag,TimeSinceLastTxn,Location_enc,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Velocity_1D_Count,Velocity_7D_Count,Expanding_MeanAmount,Expanding_MedianAmount,Expanding_StdAmount,Expanding_MinAmount,Expanding_MaxAmount,Rolling3_MeanAmount,Rolling3_StdAmount,Amount_to_Balance_Ratio,Amount_to_RollingMean_Ratio,Amount_minus_ExpandingMean,Amount_minus_ExpandingMedian,Amount_ZScore_Account,Hour_sin,Hour_cos,DOW_sin,DOW_cos,CustomerTxnCountSoFar,SpendCV_Account,ElevatedLoginFlag,ATM_Credit_InteractionFlag,DeviceSharedAccounts_Prior,IPSharedAccounts_Prior,MerchantSharedAccounts_Prior,Location_Freq
TX001313,AC00001,47.79,25,37,1,1649.92,-0.8379951947570068,8,3,21,-0.8379951947570068,1,1,936.2166666666668,10,True,True,False,False,False,True,0.0,0.0,297.5937778662421,211.14,0.0,0.26,1919.11,297.5937778662421,0.0,0.028965040711692053,0.1605880344073991,-249.8037778662421,-163.35,-17.112998267905244,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0,0.0,0,0,5.0,1.0,14.0,0.024681528662420384
TX002017,AC00001,212.97,59,178,1,4180.4,-0.2780463943785002,1,5,26,3.4563715535389927,1,1,1439.9333333333334,1,True,False,True,True,False,False,0.0,0.0,47.79,47.79,0.0,47.79,47.79,47.79,0.0,0.05094488564468833,4.456371532614114,165.18,165.18,11.315781843003847,-0.961261695938319,-0.2756373558169989,0.7818314824680298,0.6234898018587336,1,0.0,0,0,0.0,1.0,23.0,0.02428343949044586
TX002121,AC00002,476.99,23,187,1,1154.48,0.6169631847226822,4,7,17,0.6169631847226822,1,1,936.2166666666668,36,True,False,True,False,False,True,0.0,0.0,297.5937778662421,211.14,0.0,0.26,1919.11,297.5937778662421,0.0,0.41316436801576084,1.6028224844525067,179.39622213375793,265.85,12.289674979565703,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0.0,0,0,0.0,0.0,0.0,0.023487261146496817
TX000021,AC00002,59.32,71,38,1,5750.89,-0.7989092904806768,1,5,26,-0.8756368039673016,1,1,1176.6,20,True,True,False,False,True,False,0.0,0.0,476.99,476.99,0.0,476.99,476.99,476.99,0.0,0.010314925166310792,0.12436319393621838,-417.67,-417.67,-28.612801806316845,-0.9335804264972019,-0.3583679495452999,0.7818314824680298,0.6234898018587336,1,0.0,0,0,0.0,0.0,4.0,0.02746815286624204
TX001477,AC00002,12.62,33,61,1,6420.47,-0.9572190675582664,2,5,32,-0.9529376630943384,1,1,1583.9833333333331,12,True,True,False,False,False,False,0.0,0.0,268.15500000000003,268.15500000000003,295.3372892981853,59.32,476.99,268.15500000000003,295.3372892981853,0.0019655881887205157,0.04706233317647504,-255.53500000000003,-255.53500000000003,-0.865231073960325,-0.9320078692827984,-0.3624380382837018,-0.433883739117558,-0.9009688679024191,2,1.1013678215838505,0,0,1.0,3.0,10.0,0.018312101910828025
TX000062,AC00002,263.99,79,227,2,4175.02,-0.1050921154384868,4,5,25,0.4427522610747147,1,1,263.53333333333336,9,True,True,False,False,True,False,0.0,0.0,182.9766666666667,59.32,255.69142072688578,12.62,476.99,182.9766666666667,255.69142072688578,0.06323083480720311,1.4427522556095371,81.01333333333332,204.67000000000002,0.31684024869910243,-0.8808907382053857,-0.47331966718484314,0.7818314824680298,0.6234898018587336,3,1.3973990453946044,1,0,2.0,3.0,6.0,0.01950636942675159
TX001599,AC00002,395.16,56,17,1,5340.73,0.3395651320832998,6,2,27,0.9443979680933032,1,1,1656.1166666666666,25,True,False,True,False,True,False,0.0,0.0,203.23000000000002,161.655,212.66450526592348,12.62,476.99,111.97666666666667,133.70214146876373,0.0739898852640014,1.94439796317277,191.93,233.50500000000002,0.9025013354250335,-0.8949343616020251,-0.44619781310980866,0.0,1.0,4,1.0464227929907035,0,0,4.0,1.0,11.0,0.021894904458598725
TX001674,AC00002,331.66,76,145,1,7216.3,0.1243045144296179,4,8,26,0.3726739935572398,1,1,1177.6333333333334,19,True,False,False,False,True,False,0.0,0.0,241.61599999999999,263.99,203.19219677438403,12.62,476.99,223.92333333333332,194.3919140122174,0.04595984090933583,1.372673989418441,90.04400000000004,67.67000000000002,0.44314693885602835,-0.9993908270190958,-0.03489949670250076,0.0,1.0,5,0.8409716075649478,0,0,3.0,3.0,18.0,0.021894904458598725
TX001029,AC00002,516.47,25,94,1,1305.06,0.6850515769334136,4,4,45,1.012560558227127,1,1,2423.133333333333,5,False,False,False,False,False,True,0.0,0.0,256.62333333333333,297.82500000000005,185.42107589663766,12.62,476.99,330.27000000000004,65.59604637476264,0.3957442566657899,2.0125605543303653,259.8466666666667,218.64499999999998,1.401386899575091,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,6,0.7225417609756033,0,1,3.0,3.0,42.0,0.027070063694267517
TX002326,AC00003,20.17,77,86,1,3869.37,-0.9316250886088916,6,6,30,-0.9316250886088916,1,1,936.2166666666668,35,True,False,False,False,True,False,0.0,0.0,297.5937778662421,211.14,0.0,0.26,1919.11,297.5937778662421,0.0,0.005212734888311862,0.06777695446740406,-277.42377786624206,-190.96999999999997,-19.005127427027208,-0.9469301294951056,-0.3214394653031618,0.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.023487261146496817
TX001841,AC00003,237.97,69,69,1,13486.15,-0.1932981197116963,5,3,22,10.798214635685936,1,1,168.68333333333334,8,True,False,False,False,False,False,0.0,0.0,20.17,20.17,0.0,20.17,20.17,20.17,0.0,0.01764551039268839,11.798214586107356,217.8,217.8,14.920555063604782,-0.9890158633619168,-0.14780941112961046,0.0,1.0,1,0.0,0,0,0.0,0.0,1.0,0.021496815286624203
TX002363,AC00003,416.62,26,67,1,9700.9,0.3592777669715037,2,4,31,2.2278608334402974,1,1,1344.0,3,False,False,True,False,False,True,0.0,0.0,129.07,129.07,154.00785694243007,20.17,237.97,129.07,154.00785694243007,0.0429465307298347,3.227860825692564,287.55,287.55,1.8671125337942307,-0.9890158633619168,-0.14780941112961046,0.0,1.0,2,1.1932118675851724,0,0,0.0,0.0,4.0,0.020302547770700636
TX001904,AC00003,384.11,58,12,1,7902.52,0.3021063946805725,6,6,24,0.7077627569457464,1,1,1679.15,13,True,False,False,False,True,False,0.0,0.0,224.92,237.97,198.5469151107617,20.17,416.62,224.92,198.5469151107617,0.04860601427790046,1.7077627524997212,159.19000000000003,146.14000000000001,0.8017752374102315,-0.9320078692827984,-0.3624380382837018,0.0,1.0,3,0.8827445946470617,0,0,2.0,1.0,8.0,0.02786624203821656
