TransactionID,AccountID,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,account_frequency,device_frequency,ip_frequency,merchant_frequency,amount_to_balance_ratio,high_amount_transaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_FE
TX000001,AC00128,11-04-2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,Doctor,-1.9940613374265643,1.4237182648914386,-0.5524432626288956,-0.2067936485059295,-0.0005366350524106,0.3949500495407011,0.7808342855964149,-1.0590212998330302,1.1416656400881946,-0.5618235405057327,0,1,0,0,0,0,0,-0.0284464023563903
TX000002,AC00455,27-06-2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,Doctor,0.6468954816270814,1.3112870641052805,0.3053143661768069,-0.2067936485059295,2.2164715868484435,0.3949500495407011,0.2356826109387734,-0.5683791926436955,0.1689807642567112,-0.4628891797141021,0,1,0,0,0,0,0,0.598372568865119
TX000003,AC00019,10-07-2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,Student,-0.2444701068602647,-1.443277355155591,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,-0.9361517274444162,0.2356826109387734,0.9035471289243084,0.7525916897556012,-0.1379406682500099,0,1,0,1,0,0,1,0.2849630832543643
TX000004,AC00070,05-05-2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,Student,0.0645067149280372,-1.049768152404038,-1.353017049514218,-0.2067936485059295,0.8857974429054191,0.8386506418690736,0.7808342855964149,1.394189236113643,0.9471286649218978,-0.4860708973127751,0,1,0,1,0,0,1,-0.0284464023563903
TX000005,AC00411,16-10-2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,Student,-2.029618581933784,-1.049768152404038,1.1201841135422244,-0.2067936485059295,0.5935893646592064,-0.0487505427876713,-0.8546207383765094,-0.5683791926436955,0.9471286649218978,-0.5656761711107899,0,0,0,1,0,0,1,0.2849630832543643
TX000006,AC00393,03-04-2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,Student,-0.5006662745962213,-1.49949295554867,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,0.8386506418690736,-0.3094690637188679,-0.5683791926436955,0.1689807642567112,-0.1184781187005733,0,1,0,0,0,0,1,1.3818962828920058
TX000007,AC00199,15-02-2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,Doctor,-2.506557624788934,-0.4313965480801688,0.2767224452166169,-0.2067936485059295,2.103091796208713,-2.267253504429533,-0.3094690637188679,-0.5683791926436955,0.7525916897556012,-0.5708916296543467,0,0,0,0,0,0,0,0.2849630832543643
TX000008,AC00069,08-05-2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,Retired,0.0045129838786818,1.2550714637122016,2.449708438191063,-0.2067936485059295,-0.5943498275623533,0.3949500495407011,-1.399772413034151,0.9035471289243084,-0.803704111574772,-0.3301499966269704,0,0,1,0,0,1,0,-0.1851511451617691
TX000009,AC00135,21-03-2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,Engineer,-0.3851733910199486,0.3556218574229373,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,-1.823552912101161,0.7808342855964149,-0.0777370854543609,-0.803704111574772,-0.525642057343061,0,0,1,0,1,0,0,0.598372568865119
TX000010,AC00385,31-03-2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,Doctor,1.2808766651211028,0.5804842589952534,0.005099196094811,-0.2067936485059295,-1.049294570483005,0.3949500495407011,-0.3094690637188679,0.4129050217349737,0.5580547145893046,1.822318287787662,0,1,0,0,0,0,0,-0.6552653735779012
