TransactionID,AccountID,ensemble_weighted_average,ensemble_rank_borda,ensemble_percentile_average,ensemble_pca_stacking_proxy,hybrid_vote_count_for_comparison
TX001313,AC00001,-0.23438333648628362,12384.0,0.4449641719745223,-0.4288202335181406,0
TX002017,AC00001,-0.12895140087873636,13206.5,0.47770700636942676,-0.3180624518503422,0
TX002121,AC00002,-0.15892945951235957,14418.5,0.5248611976267606,-0.4288384187297279,0
TX000021,AC00002,-0.07979746125129966,12749.5,0.4641420070950332,-0.1367564020445124,0
TX001477,AC00002,-0.3263878916018023,8843.5,0.32040590149494225,-0.8854793927902433,0
TX000062,AC00002,0.10362589622855127,16606.5,0.6024023450589091,0.1348476767809562,0
TX001599,AC00002,-0.3587393604480622,8794.5,0.31924249033448776,-0.9827794750256745,0
TX001674,AC00002,-0.6004619765491456,3148.5,0.11395789951627842,-1.5929342117081555,0
TX001029,AC00002,0.4591708396369524,21432.5,0.7786857283811455,1.0001608600970815,0
TX002326,AC00003,-0.44281388677355216,7183.0,0.2599015151916927,-0.9645567806520605,0
TX001841,AC00003,0.17550824753258765,18045.0,0.6557509496766591,0.4786215027033098,0
TX002363,AC00003,-0.06051831280909479,15361.5,0.5573906365184003,-0.2661276927910583,0
TX001904,AC00003,-0.4817552388786009,5644.5,0.2048066939729341,-1.3271116995517898,0
TX002248,AC00003,-0.2988951848515648,11591.5,0.4210275425516374,-0.8835582712558571,0
TX001851,AC00004,-0.5102052885904422,7825.5,0.2865261957199342,-1.1495495403092757,0
TX000707,AC00004,2.435306961634714,24356.0,0.8852062518351095,8.856748658849817,3
TX001648,AC00004,-0.2930768056321632,8733.5,0.31726858757925624,-0.8181472939638552,0
TX000223,AC00004,-0.46811987142405653,5719.5,0.20708837682070574,-1.2609155303768411,0
TX002442,AC00004,-0.34099176210878696,9651.5,0.3504843091816461,-0.9251059189283627,0
TX002391,AC00004,-0.5396947176108526,5182.0,0.18762800566214122,-1.3666112445853063,0
TX001820,AC00004,0.016546281189328597,15801.5,0.5734252440906463,-0.0806475238281861,0
TX002328,AC00004,-0.26911852130628783,9995.5,0.36184975353486065,-0.7370177502557475,0
TX000245,AC00004,0.02052257353287569,16364.5,0.5941548389997334,0.026267025888723986,0
TX002315,AC00005,-0.554425958847717,3943.5,0.14261784897935373,-1.3739651593796698,0
TX000944,AC00005,0.12869893936049487,17122.5,0.6215022784284665,0.2076497552768536,0
TX001792,AC00005,0.17567524615551783,17313.5,0.6295680514018669,0.35009165260649755,0
TX000547,AC00005,-0.3257029607983566,8906.5,0.3230206461561901,-1.0417868286338605,0
TX000760,AC00005,0.05784746188835948,17025.5,0.6184691649788079,-0.04097775151563859,0
TX000195,AC00005,-0.4908550646375722,8342.5,0.30305700603193536,-1.3867645284335397,0
TX001971,AC00005,-0.04059973810341226,15737.5,0.5710311946905854,-0.2797189093818077,0
TX002083,AC00005,-0.06809959592968332,12946.5,0.470310174473405,-0.3171593650173682,0
TX001038,AC00005,-0.0633032041409397,13400.5,0.4864868297601834,-0.2850332199660029,0
TX000662,AC00006,-0.6463900394575766,3222.5,0.11643044579719564,-1.601412391952468,0
TX000216,AC00006,-0.028622194416593787,14811.5,0.5386529338608486,-0.12121110940110306,0
TX001406,AC00006,0.07846749330904415,15326.5,0.5562449737889725,-0.004328133332310145,0
