TransactionID,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,account_frequency,device_frequency,ip_frequency,merchant_frequency,amount_to_balance_ratio,high_amount_transaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_FE
TX000001,0.7612643154705403,0.26179027529429283,-0.060193215182600436,-0.11127567601156255,-0.06537555569606827,-0.18696083157304752,-0.05196309603659087,-0.048381929404707646,0.06977582213932149,-0.06502339570371748,-0.08691155650582903,-0.2623677393680627,-0.1415215796874709,-0.19253653540552298,-0.15048278171261426,-0.1743129898933544,-0.2117982147830961,-0.17072659966032067
TX000002,-0.16890874474948409,0.2728689782264261,-0.17921238212508184,-0.1164215368393024,0.5577393114401296,-0.17993992596100553,-0.1472083799014499,-0.09560801180791471,-0.12821440674664575,-0.14349479176759164,-0.10063591538356287,-0.2929197537613727,-0.16180169861216065,-0.15885092891646338,-0.15325793057015338,-0.17868233067564646,-0.23232251653021513,-0.0025434140393512912
TX000003,-0.15412701459304518,0.20771055177279377,0.07053572409382183,-0.11017130407710328,-0.07751587731826691,-0.0635656713846278,-0.17183889382026343,0.012787853035048527,-0.03683165800892548,-0.07578429074456196,-0.10605388361745645,-0.26602040507771324,-0.15301728578985058,0.35516472120043274,-0.1407254098697915,-0.19733707964382863,0.5109543267408263,-0.17292422091299534
TX000004,-0.1830750804182362,0.02933020144201567,0.19821993517433764,-0.10115491903524584,0.238287069809571,0.014463365102822472,-0.1342866431843704,0.16862380740047253,-0.041551912565815856,-0.0883619927941926,-0.1001574020652844,-0.2565378144249054,-0.11580260934549709,0.31762839408702026,-0.1308989606647944,-0.1814740325006531,0.6931747659735791,-0.16512535169616252
TX000005,0.7094902307066435,0.07516209262499506,0.07681462689069275,-0.09608174366380309,0.171285342144969,-0.1622023672046467,0.02402097044107021,-0.08058874213072183,-0.008270836547395938,-0.04224920726921407,-0.08022610562411071,0.7918248389535701,-0.1345942567817921,0.25699015457258334,-0.13815929299091648,-0.18377599443878806,0.6483919495924808,-0.14827447643129477
TX000006,-0.07385983760137227,0.27815227220960426,-0.04767714253151587,-0.11325635050266807,-0.04682093597996454,-0.0017459117462413666,-0.11627938278773146,-0.09899096740716844,-0.15573519222494273,-0.05292837125578062,-0.10133360612458339,-0.27097949747383304,-0.17762060763577217,-0.11883387447838618,-0.15215449051990937,-0.17529496180526538,0.5423208118201126,0.2334195736455822
TX000007,0.9256079666131741,-0.023915231537874823,-0.0993311590769501,-0.08936596943985967,0.5562922862568006,0.5696526036737382,-0.08230555737840621,-0.0510536928824006,-0.04105684240508748,-0.05283088517034146,-0.07870903779677911,0.9443559440678154,-0.11532541526858942,-0.07166856974676407,-0.12059950474732942,-0.18337190191458272,-0.21121569482921312,-0.10822518332807235
TX000008,-0.16529690177339357,0.12998755653085503,0.5653233014403259,-0.08980677654011668,-0.02457838653733911,-0.1380802431372411,0.21069114597207866,0.054506011807632065,-0.020181990902999537,-0.10281214021561547,-0.08217566805078176,0.8418218065674135,0.25895392542411977,-0.1479403227242816,-0.15070347959490396,0.5840551474590471,-0.1877099771193876,-0.14783325206963366
TX000009,-0.10750162741723582,-0.12553058143274082,-0.10073268291862875,-0.10790659837593927,-0.005303097622695995,0.39597830034950887,-0.04489719358591125,-0.15477320826030666,-0.03719890990133746,-0.13437244057692924,-0.08544180443185724,0.8443234987442537,0.20431703919204502,-0.12864555620484824,0.38801619477023064,-0.19504070686483735,-0.22703286738291426,-0.03247697009550598
TX000010,0.11515070241131341,-0.03781755352040792,-0.14410302672313313,-0.1085914637066814,0.05341843243734755,-0.1514343797554481,-0.07838670547674412,-0.03093828285055322,-0.04827762881529192,0.6503794278357458,-0.10523219541207629,-0.2887941692879471,-0.20693518810311934,-0.14625172797526276,-0.15102182486722712,-0.18561019428147552,-0.15162699320250717,-0.04953620964958612
