TransactionID,AccountID,split,score_isolation_forest,flag_isolation_forest_native,score_lof,flag_lof_native,score_ocsvm,flag_ocsvm_native,score_elliptic_envelope,flag_elliptic_envelope_native,score_dbscan,flag_dbscan_native,score_hdbscan,flag_hdbscan_native,score_kmeans,flag_kmeans_top5pct,score_gmm,flag_gmm_top5pct
TX000001,AC00128,train,-0.10417034469966802,0,-0.17981237738899303,0,-2.931854958852367,0,-88.18917805675943,0,0.0,0,0.21382968539207617,0,1.7385351833068285,0,-6.218068838854906,0
TX000002,AC00455,train,-0.12512014988694053,0,-0.2561954054083535,0,-2.946103857849807,0,-98.16991422249751,0,0.0,0,0.05273256318985806,0,1.5298295010706848,0,-8.364599184156825,0
TX000003,AC00019,train,-0.09461149832045085,0,-0.24983935703689553,0,-3.5225351975660066,0,-101.06324343710523,0,4.2146848510894035e-08,0,0.015372296311268857,0,1.88131605689394,0,-15.233148475142457,0
TX000004,AC00070,train,-0.07188958261216333,0,-0.17062529534436188,0,-2.6741889158726293,0,-90.421143599111,0,4.2146848510894035e-08,0,0.3443091239630959,0,2.0001714679257043,0,-10.960524185606134,0
TX000005,AC00411,train,-0.020884915830497897,0,-0.17601008548986696,0,-2.357148425768366,0,-86.56354017513867,0,0.0,0,0.3151374151907459,0,2.1762501056146246,0,7.541764352422647,1
TX000006,AC00393,train,-0.09705974389980954,0,-0.2562969851885425,0,-3.0038282780937378,0,-101.22622045983445,0,0.0,0,0.03559485544400314,0,1.4650383719414917,0,-15.150771436570444,0
TX000007,AC00199,train,-0.021330939615005873,0,-0.07050526037239524,0,-0.451273122167434,0,-68.68988104726498,0,0.0,0,0.42791879017690876,0,2.3821051367549595,0,-2.737362658160006,0
TX000008,AC00069,train,-0.031082632425815993,0,-0.13080106118967505,0,-1.6550302508522021,0,-91.64411756787644,0,0.0,0,0.3731508088503856,0,2.6655801172114995,0,-9.668073892614784,0
TX000009,AC00135,train,-0.06596810325801955,0,-0.19074400749518872,0,-1.8969405862319109,0,-94.92251484042856,0,0.0,0,0.2309479071624567,0,2.1343151955066366,0,-6.92891602515437,0
TX000010,AC00385,train,-0.10944560008548299,0,-0.23696568986869004,0,-3.0694743572947933,0,-45.937253486809254,0,0.0,0,0.3798033689137019,0,2.2054685880259113,0,-3.7883409187051127,0
